id,query_type,comment,Class,target,hate,offensive,Insult,Neutral,comment_text,tokens,tokens_sent
3819,Facebook:/<page-id>/posts,tous unis contre cette horde  barbares illuminés,offensive,1,0,1,0,0,unir horde   barbare illuminer,"['unir', 'horde', 'barbare', 'illuminer']",['tous unis contre cette horde  barbares illuminés']
3835,Facebook:/<page-id>/posts,appel a manifester contre  decret absurde  marechal autoproclame idriss deby itno instaurant  confinement a and djamena,offensive,1,0,1,0,0,appel manifester   decret absurde   marechal autoproclame idriss deby itno instaurer   confinement and djamena,"['appel', 'manifester', 'decret', 'absurde', 'marechal', 'autoproclame', 'idriss', 'deby', 'itno', 'instaurer', 'confinement', 'and', 'djamena']",['appel a manifester contre  decret absurde  marechal autoproclame idriss deby itno instaurant  confinement a and djamena']
3849,Facebook:/<page-id>/posts,tchad saleh kebzabo  enfonce   logique haineuse  prefere  sud  detriment  nord a chacun  en tirer  consequences,offensive,1,0,1,0,0,tchad saleh kebzabo   enfoncer    logique haineux   prefere   sud   detriment   nord   tirer   consequences,"['tchad', 'saleh', 'kebzabo', 'enfoncer', 'logique', 'haineux', 'prefere', 'sud', 'detriment', 'nord', 'tirer', 'consequences']",['tchad saleh kebzabo  enfonce   logique haineuse  prefere  sud  detriment  nord a chacun  en tirer  consequences']
3851,Facebook:/<page-id>/posts, claque  noel quand  sahoulba gontchomé ramasse grave  présidente   fondation grand coeur hinda deby itno  belle  tais toi,offensive,1,0,1,0,0,  claque   noel   sahoulba gontchomé ramasser grave   président    fondation grand coeur hinda deby itno   bel   tai,"['claque', 'noel', 'sahoulba', 'gontchomé', 'ramasser', 'grave', 'président', 'fondation', 'grand', 'coeur', 'hinda', 'deby', 'itno', 'bel', 'tai']",[' claque  noel quand  sahoulba gontchomé ramasse grave  présidente   fondation grand coeur hinda deby itno  belle  tais toi']
3856,Facebook:/<page-id>/posts,tchad tous contre  injustice  regime deby dites  maréchal idriss deby itno  ça suffit trop   trop  pays brûle   populations  entretuent  misère décime  peuple   peu peur  dieu  rédaction  tchadhanana,offensive,1,0,1,0,0,tchad   injustice   regime deby dites   maréchal idriss deby itno        pays brûle    population   entretuer   misère décime   peuple    peur   dieu   rédaction   tchadhanana,"['tchad', 'injustice', 'regime', 'deby', 'dites', 'maréchal', 'idriss', 'deby', 'itno', 'pays', 'brûle', 'population', 'entretuer', 'misère', 'décime', 'peuple', 'peur', 'dieu', 'rédaction', 'tchadhanana']",['tchad tous contre  injustice  regime deby dites  maréchal idriss deby itno  ça suffit trop   trop  pays brûle   populations  entretuent  misère décime  peuple   peu peur  dieu  rédaction  tchadhanana']
3889,Facebook:/<page-id>/posts,chinois chal sakine   averti,offensive,1,0,1,0,0,chinois chal sakine    avertir,"['chinois', 'chal', 'sakine', 'avertir']",['chinois chal sakine   averti']
3918,Facebook:/<page-id>/posts, perroquet presidentiel repond a  detracteurs,offensive,1,0,1,0,0,  perroquet presidentiel repond   detracteurs,"['perroquet', 'presidentiel', 'repond', 'detracteurs']",[' perroquet presidentiel repond a  detracteurs']
3922,Facebook:/<page-id>/posts,forum and 2  intervention  general mahmoud ali seid  intervention  général mahmoud ali seid  forum national and 2  devenue virale beaucoup  voulu écouter  vive voix  perroquet présidentiel suivez donc  rédaction  tchadhanana,offensive,1,0,1,0,0,forum and 2   intervention   general mahmoud ali seid   intervention   général mahmoud ali seid   forum national and 2   devenue viral   vouloir écouter   voix   perroquet présidentiel suivre   rédaction   tchadhanana,"['forum', 'and', '2', 'intervention', 'general', 'mahmoud', 'ali', 'seid', 'intervention', 'général', 'mahmoud', 'ali', 'seid', 'forum', 'national', 'and', '2', 'devenue', 'viral', 'vouloir', 'écouter', 'voix', 'perroquet', 'présidentiel', 'suivre', 'rédaction', 'tchadhanana']",['forum and 2  intervention  general mahmoud ali seid  intervention  général mahmoud ali seid  forum national and 2  devenue virale beaucoup  voulu écouter  vive voix  perroquet présidentiel suivez donc  rédaction  tchadhanana']
3950,Facebook:/<page-id>/posts,douasse fin  adrénaline monte  qg  mouvement  transformateurs  leader dr succès masra chauffe  troupes   approche   élection présidentielle  laquelle   pourrait être candidat  mouvement va   présenter  vice président moustapha mahamat masri  remplit  conditions constitutionnelles  discours laisse croire plutôt   bras  fer avenue  maréchal autoproclamé  tchad  parle déjà  douasse fin sans passer   douasses intermédiaires allah yastour  rédaction  tchadhanana,offensive,1,0,1,0,0,douasse fin   adrénaline mont   qg   mouvement   transformateur   leader dr succès masra chauffe   trouper    approche    élection présidentiel      candidat   mouvement    présenter   vice président moustapha mahamat masri   remplir   condition constitutionnel   discours laisse croire    bras   fer avenue   maréchal autoproclamé   tchad   déjà   douasse fin passer    douasse intermédiaire allah yastour   rédaction   tchadhanana,"['douasse', 'fin', 'adrénaline', 'mont', 'qg', 'mouvement', 'transformateur', 'leader', 'dr', 'succès', 'masra', 'chauffe', 'trouper', 'approche', 'élection', 'présidentiel', 'candidat', 'mouvement', 'présenter', 'vice', 'président', 'moustapha', 'mahamat', 'masri', 'remplir', 'condition', 'constitutionnel', 'discours', 'laisse', 'croire', 'bras', 'fer', 'avenue', 'maréchal', 'autoproclamé', 'tchad', 'déjà', 'douasse', 'fin', 'passer', 'douasse', 'intermédiaire', 'allah', 'yastour', 'rédaction', 'tchadhanana']",['douasse fin  adrénaline monte  qg  mouvement  transformateurs  leader dr succès masra chauffe  troupes   approche   élection présidentielle  laquelle   pourrait être candidat  mouvement va   présenter  vice président moustapha mahamat masri  remplit  conditions constitutionnelles  discours laisse croire plutôt   bras  fer avenue  maréchal autoproclamé  tchad  parle déjà  douasse fin sans passer   douasses intermédiaires allah yastour  rédaction  tchadhanana']
4012,Facebook:/<page-id>/posts,utilisation   photo  maréchal autoproclame carton jaune  griots  militants alimentaires,insult,2,0,0,1,0,utilisation    photo   maréchal autoproclame carton jaune   griot   militant alimentaire,"['utilisation', 'photo', 'maréchal', 'autoproclame', 'carton', 'jaune', 'griot', 'militant', 'alimentaire']",['utilisation   photo  maréchal autoproclame carton jaune  griots  militants alimentaires']
