id,query_type,message,Class,Label,Hate_Speech,Offensive_Language,Insult,Normal_Comment
8,Facebook:/<page-id>/posts,"?? Dr. Djiddi Ali Sougoudi : ""Pourquoi je regrette ? Je n'ai aucun regret (...) Je ne suis pas responsable des interprétations"". #Tchad",normal,4,0,0,0,4
19,Facebook:/<page-id>/posts,"Dr. Djiddi Ali Sougoudi : ""Pourquoi je regrette ? Je n'ai aucun regret. J'ai insulté qui ? Qui aujourd'hui va dire que je l'ai insulté de mouton ? Dites-moi ? Je n'ai aucun regret"". #Tchad",offensive,2,0,2,0,0
23,Facebook:/<post-id>/comments,Walay inal abouk zata ,hate,1,1,0,0,0
38,Facebook:/<post-id>/comments,Da bineye hana wene wa,normal,4,0,0,0,4
95,Facebook:/<post-id>/comments,Dehors guilital-adable,insult,3,0,0,3,0
95,Facebook:/<page-id>/posts, au moins 16 morts dans les affrontements au Salamat,normal,4,0,0,0,4
101,Facebook:/<post-id>/comments,C'est de l'impolitesse,offensive,2,0,2,0,0
120,Facebook:/<post-id>/comments,C'est un malade mental,insult,3,0,0,3,0
120,Facebook:/<page-id>/posts,"Saleh Kebzabo : ""les injustices que vivent les tchadiens ne sont plus tolérables""",normal,4,0,0,0,4
128,Facebook:/<post-id>/comments,Yakarib beta zata yaki,insult,3,0,0,3,0
128,Facebook:/<page-id>/posts,(Tribune)  des restrictions fallacieuses qu’efficaces,normal,4,0,0,0,4
230,Facebook:/<post-id>/comments,Villain que vous êtes.,insult,3,0,0,3,0
237,Facebook:/<post-id>/comments,Harsama michil keda hana chnu,offensive,2,0,2,0,0
238,Facebook:/<post-id>/comments,Mafi da nar koula ma yakoula ,normal,4,0,0,0,4
246,Facebook:/<post-id>/comments,Djari hana rakouba hada yagif,normal,4,0,0,0,4
246,Facebook:/<page-id>/posts,"Idriss Deby : ""arrêtez les tchadiens de vous faire la guerre intercommunautaire""",normal,4,0,0,0,4
247,Facebook:/<post-id>/comments,Al likita fagaran da achamane,normal,4,0,0,0,4
247,Facebook:/<page-id>/posts, Blocage dans la résolution du conflit intercommunautaire d’Abéché,normal,4,0,0,0,4
248,Facebook:/<post-id>/comments,Sa bouche on dirai bazooka da,insult,3,0,0,3,0
248,Facebook:/<page-id>/posts, les autorités veulent poursuivre en justice le député Saleh Kebzabo,normal,4,0,0,0,4
276,Facebook:/<post-id>/comments,In abouki zata.tumouti bala radjil,hate,1,1,0,0,0
276,Facebook:/<page-id>/posts, le ministère de la Jeunesse dément avoir invité Succès Masra à la cérémonie d'installation du CNJT,normal,4,0,0,0,4
278,Facebook:/<post-id>/comments,Yanil abouki zata.  Et continue à rêver,hate,1,1,0,0,0
278,Facebook:/<page-id>/posts, les vendeuses d'or se plaignent des tracasseries,normal,4,0,0,0,4
279,Facebook:/<post-id>/comments,1-Al rabata morfoïn da hou bess yi fertiga. 2-al akada amak bess abouk,normal,4,0,0,0,4
280,Facebook:/<post-id>/comments,Elle fait tout ça parce qu'elle aime l'argent ? elle doit s'interroger combien de temps elle pourra mettre sur cette planète terre ?et si elle meurt  on va l'enterrer où?ya djama a kafou le Raboukou Al  Kiligakou soubhannallah?,normal,4,0,0,0,4
281,Facebook:/<post-id>/comments,Damboula hanakk Ti moute bé fagourague,hate,1,1,0,0,0
281,Facebook:/<page-id>/posts, une dizaine de morts et des blessés dans des violences au Dar Tama,normal,4,0,0,0,4
296,Facebook:/<post-id>/comments,Une système à appliquer hein merci bro,normal,4,0,0,0,4
313,Facebook:/<post-id>/comments,Merci pour cette merveilleuse vidéo ??,normal,4,0,0,0,4
313,Facebook:/<page-id>/posts,"Zene Bada : ""Le MPS a offert au peuple tchadien la liberté et la démocratie. On ne peut accéder au pouvoir que par les urnes désormais au #Tchad"".",normal,4,0,0,0,4
315,Facebook:/<post-id>/comments,Vraiment merci vous nous avez rappeler,normal,4,0,0,0,4
321,Facebook:/<post-id>/comments,Merci a vous également et ce bien sur.,normal,4,0,0,0,4
321,Facebook:/<page-id>/posts, les autorités sont descendues sur le terrain afin de calmer les tensions,normal,4,0,0,0,4
323,Facebook:/<post-id>/comments,La verite est bonne a dire. Merci Keb.,normal,4,0,0,0,4
323,Facebook:/<page-id>/posts, deux morts dans un conflit entre éleveurs et agriculteurs à Gagal,normal,4,0,0,0,4
341,Facebook:/<page-id>/posts,J'ai envie de dire à notre voisin que sa femme nous trompe avec quelqu'un d'autre mais façon il est compliqué là,normal,4,0,0,0,4
355,Facebook:/<post-id>/comments,À oui. Merci pour les éclaircissements,normal,4,0,0,0,4
355,Facebook:/<page-id>/posts, plus de 300 officiers et sous-officiers élevés à des grades supérieurs,normal,4,0,0,0,4
367,Facebook:/<post-id>/comments,Merci Docteur que Dieu soit avec vous.,normal,4,0,0,0,4
367,Facebook:/<page-id>/posts, le bilan monte à deux morts et 10 blessés suite à des violences au Sila,normal,4,0,0,0,4
373,Facebook:/<post-id>/comments,Bien merci je ne suis pas blessé et toi,normal,4,0,0,0,4
373,Facebook:/<page-id>/posts, Les Transformateurs dénoncent un acharnement des autorités,normal,4,0,0,0,4
388,Facebook:/<post-id>/comments,Bienvenue et merci pour votre confiance,normal,4,0,0,0,4
388,Facebook:/<page-id>/posts,N'Djamena : le Tribunal suspend les activités du Patronat de la presse tchadienne,normal,4,0,0,0,4
389,Facebook:/<page-id>/posts," ""Il n'y a pas de propriétaire ou de locataire du MPS. Le MPS c'est pour tout le monde""  https://www.alwihdainfo.com/Tchad-les-instructions-du-president-pour-mettre-fin-a-certaines-pratiques-au-Barh-El-Gazel_a98565.html",normal,4,0,0,0,4
394,Facebook:/<post-id>/comments,merci pour cette nouvelle informations n'arrive ?,normal,4,0,0,0,4
394,Facebook:/<page-id>/posts, au moins un mort dans des violences intercommunautaires au Sila,normal,4,0,0,0,4
399,Facebook:/<post-id>/comments,C'est noté. D'une part ta raison Merci Tchad kalam,normal,4,0,0,0,4
399,Facebook:/<page-id>/posts, tirs de gaz lacrymogène aux abords du siège des Transformateurs,normal,4,0,0,0,4
402,Facebook:/<post-id>/comments,????????ah bon. En tout cas merci pour ce sourire ,normal,4,0,0,0,4
402,Facebook:/<page-id>/posts, des étudiants créent un incident au Palais du 15 janvier,normal,4,0,0,0,4
426,Facebook:/<post-id>/comments,Merci idem à vous et Prenez bien soin de vous ?????,normal,4,0,0,0,4
426,Facebook:/<page-id>/posts, réconciliation entre agriculteurs et éleveurs dans la Tandjilé Centre,normal,4,0,0,0,4
440,Facebook:/<post-id>/comments,Vraiment tu nous fais vraiment rire. Merci beaucoup,normal,4,0,0,0,4
441,Facebook:/<post-id>/comments,On n'a pas besoin d'un dessin animé au tchad. Merci,normal,4,0,0,0,4
442,Facebook:/<post-id>/comments,Dieu merci mon nom ne figure pas dans cette histoire,normal,4,0,0,0,4
442,Facebook:/<page-id>/posts, Les Transformateurs annoncent le maintien de la marche pour la justice,normal,4,0,0,0,4
456,Facebook:/<post-id>/comments,Merci . Cadeau laham wa Gourous. Fruits ma noudorou.,normal,4,0,0,0,4
456,Facebook:/<page-id>/posts, les autorités interdisent la marche des Transformateurs en raison du Covid-19,normal,4,0,0,0,4
466,Facebook:/<post-id>/comments,Merci mon cher president long vie a vous incha'Allah ,normal,4,0,0,0,4
466,Facebook:/<page-id>/posts," Les Transformateurs demandent l'assistance policière pour la ""marche de la justice""",normal,4,0,0,0,4
468,Facebook:/<post-id>/comments,Le virtuel est beau ! Rêvons virtuellement ! Merci ??,normal,4,0,0,0,4
469,Facebook:/<post-id>/comments,Merci beaucoup à vous notres Marchal Idriss deby itno,normal,4,0,0,0,4
475,Facebook:/<post-id>/comments,Merci beaucoup Maréchal nous vous soutenons fortement.,normal,4,0,0,0,4
480,Facebook:/<post-id>/comments,Merci pour la beauté tchadienne qui est la meilleure dans tout le temps,normal,4,0,0,0,4
489,Facebook:/<post-id>/comments,Merci beaucoup et que ça soit celle du bouffe avec modération ??????????,normal,4,0,0,0,4
489,Facebook:/<page-id>/posts, les étudiants demandent la réhabilitation de leurs 12 camarades exclus  https://www.alwihdainfo.com/Tchad-les-etudiants-demandent-la-rehabilitation-de-leurs-12-camarades-exclus_a98512.html,normal,4,0,0,0,4
496,Facebook:/<post-id>/comments,Merci Tchad kalam. Dans quelque mois ça serait Tchad quoi?nous attendons ,normal,4,0,0,0,4
499,Facebook:/<post-id>/comments,Merci beaucoup au font du coeur pour l'honneur. Je suis vraiment contant.,normal,4,0,0,0,4
499,Facebook:/<page-id>/posts, Les Transformateurs annoncent une marche pour la justice,normal,4,0,0,0,4
504,Facebook:/<post-id>/comments,Quelle bonne nouvelle. Merci Dieu et santé de fer au Dr et ses collègues.,normal,4,0,0,0,4
547,Facebook:/<post-id>/comments,Nous avons hâte d'écouter la suite. Merci beaucoup pour cette information,normal,4,0,0,0,4
547,Facebook:/<page-id>/posts,????  le Batha confronté à l'exode des mineurs pour l'orpaillage. Plusieurs d'entre eux ont été ramenés à Ati et remis aux familles par le maire Abakar Moussa Kaïdallah.,normal,4,0,0,0,4
553,Facebook:/<post-id>/comments,Dieu merci que je suis en mode gratuit sinon je vais ???? une personne ici,normal,4,0,0,0,4
553,Facebook:/<page-id>/posts," le gouvernement condamne les ""conflits sanglants"" au Batha et Ouaddaï",normal,4,0,0,0,4
559,Facebook:/<post-id>/comments,Que Dieu bénisse toutes les mamans y compris la votre .Merci et idem à toi,normal,4,0,0,0,4
